"Time Stamp",WR_WR_COMBINED_R0,WR_WR_COMBINED_16,WR_WR_COMBINED_Act,WR_WR_COMBINED_CUF,WR_WR_COMBINED_AVC,"WR_WR_SOLAR _R0","WR_WR_SOLAR _16","WR_WR_SOLAR _Act","WR_WR_SOLAR _CUF","WR_WR_SOLAR _AVC","WR_WR_WIND _R0","WR_WR_WIND _16","WR_WR_WIND _Act","WR_WR_WIND _CUF","WR_WR_WIND _AVC",WR-ISTS_WR-ISTS_COMBINED_R0,WR-ISTS_WR-ISTS_COMBINED_16,WR-ISTS_WR-ISTS_COMBINED_Act,WR-ISTS_WR-ISTS_COMBINED_CUF,WR-ISTS_WR-ISTS_COMBINED_AVC,"WR-ISTS_WR-ISTS_SOLAR _R0","WR-ISTS_WR-ISTS_SOLAR _16","WR-ISTS_WR-ISTS_SOLAR _Act","WR-ISTS_WR-ISTS_SOLAR _CUF","WR-ISTS_WR-ISTS_SOLAR _AVC","WR-ISTS_WR-ISTS_WIND _R0","WR-ISTS_WR-ISTS_WIND _16","WR-ISTS_WR-ISTS_WIND _Act","WR-ISTS_WR-ISTS_WIND _CUF","WR-ISTS_WR-ISTS_WIND _AVC","Madhya Pradesh_Madhya Pradesh_SOLAR _R0","Madhya Pradesh_Madhya Pradesh_SOLAR _16","Madhya Pradesh_Madhya Pradesh_SOLAR _Act","Madhya Pradesh_Madhya Pradesh_SOLAR _CUF","Madhya Pradesh_Madhya Pradesh_SOLAR _AVC","Madhya Pradesh_Madhya Pradesh_WIND _R0","Madhya Pradesh_Madhya Pradesh_WIND _16","Madhya Pradesh_Madhya Pradesh_WIND _Act","Madhya Pradesh_Madhya Pradesh_WIND _CUF","Madhya Pradesh_Madhya Pradesh_WIND _AVC","Maharastra_Maharastra_SOLAR _R0","Maharastra_Maharastra_SOLAR _16","Maharastra_Maharastra_SOLAR _Act","Maharastra_Maharastra_SOLAR _CUF","Maharastra_Maharastra_SOLAR _AVC","Maharastra_Maharastra_WIND _R0","Maharastra_Maharastra_WIND _16","Maharastra_Maharastra_WIND _Act","Maharastra_Maharastra_WIND _CUF","Maharastra_Maharastra_WIND _AVC","Gujarat_Gujarat_SOLAR _R0","Gujarat_Gujarat_SOLAR _16","Gujarat_Gujarat_SOLAR _Act","Gujarat_Gujarat_SOLAR _CUF","Gujarat_Gujarat_SOLAR _AVC","Gujarat_Gujarat_WIND _R0","Gujarat_Gujarat_WIND _16","Gujarat_Gujarat_WIND _Act","Gujarat_Gujarat_WIND _CUF","Gujarat_Gujarat_WIND _AVC",OKWPL_RE-WIND_WIND_R0,OKWPL_RE-WIND_WIND_16,OKWPL_RE-WIND_WIND_Act,OKWPL_RE-WIND_WIND_CUF,OKWPL_RE-WIND_WIND_AVC,Acme_RUMS-SOLAR_SOLAR_R0,Acme_RUMS-SOLAR_SOLAR_16,Acme_RUMS-SOLAR_SOLAR_Act,Acme_RUMS-SOLAR_SOLAR_CUF,Acme_RUMS-SOLAR_SOLAR_AVC,Arinsun_RUMS-SOLAR_SOLAR_R0,Arinsun_RUMS-SOLAR_SOLAR_16,Arinsun_RUMS-SOLAR_SOLAR_Act,Arinsun_RUMS-SOLAR_SOLAR_CUF,Arinsun_RUMS-SOLAR_SOLAR_AVC,Mahindra_RUMS-SOLAR_SOLAR_R0,Mahindra_RUMS-SOLAR_SOLAR_16,Mahindra_RUMS-SOLAR_SOLAR_Act,Mahindra_RUMS-SOLAR_SOLAR_CUF,Mahindra_RUMS-SOLAR_SOLAR_AVC,RPL_SECI-II_RE-WIND_WIND_R0,RPL_SECI-II_RE-WIND_WIND_16,RPL_SECI-II_RE-WIND_WIND_Act,RPL_SECI-II_RE-WIND_WIND_CUF,RPL_SECI-II_RE-WIND_WIND_AVC,GIWEL_SECI-II_RE-WIND_WIND_R0,GIWEL_SECI-II_RE-WIND_WIND_16,GIWEL_SECI-II_RE-WIND_WIND_Act,GIWEL_SECI-II_RE-WIND_WIND_CUF,GIWEL_SECI-II_RE-WIND_WIND_AVC,IWISL-WIND_WIND_R0,IWISL-WIND_WIND_16,IWISL-WIND_WIND_Act,IWISL-WIND_WIND_CUF,IWISL-WIND_WIND_AVC,GIWEL_SECI-III_RE-WIND_WIND_R0,GIWEL_SECI-III_RE-WIND_WIND_16,GIWEL_SECI-III_RE-WIND_WIND_Act,GIWEL_SECI-III_RE-WIND_WIND_CUF,GIWEL_SECI-III_RE-WIND_WIND_AVC,AGEMPL-WIND_WIND_R0,AGEMPL-WIND_WIND_16,AGEMPL-WIND_WIND_Act,AGEMPL-WIND_WIND_CUF,AGEMPL-WIND_WIND_AVC
00:00,4431,4060,3822,18.42,20753,0,0,18,0.31,5829,4431,4060,3804,25.49,14924,541,571,536,26.84,1997,0,0,0,0,750,541,571,536,42.98,1247,0,0,1,0.07,1445,1042,882,1036,42.95,2412,0,0,16,1.15,1386,822,822,610,12.2,5000,0,0,1,0.04,2248,2026,1786,1622,25.89,6265,93.19,95.24,73.59,30.92,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,118.96,105.63,85.64,46.42,184.5,91,101.12,89.67,35.87,250,50.83,54.39,59.6,40.27,148,123.98,133.25,137.81,52.08,264.6,62.72,81.38,90.03,55.51,162.2
00:15,4405,4032,3874,18.67,20753,0,0,18,0.31,5829,4405,4032,3857,25.84,14924,528,561,554,27.74,1997,0,0,0,0,750,528,561,554,44.43,1247,0,0,1,0.07,1445,1064,882,1050,43.53,2412,0,0,16,1.15,1386,813,813,622,12.44,5000,0,0,1,0.04,2248,2001,1776,1631,26.03,6265,90.54,94.32,70.27,29.53,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,117.49,101.72,90.25,48.92,184.5,88.51,100.11,102.03,40.81,250,49.27,53.94,56.54,38.2,148,121.23,131.2,141.97,53.65,264.6,60.76,79.39,92.88,57.26,162.2
00:30,4392,4019,3825,18.43,20753,0,0,18,0.31,5829,4392,4019,3807,25.51,14924,519,559,537,26.89,1997,0,0,0,0,750,519,559,537,43.06,1247,0,0,1,0.07,1445,1088,895,1017,42.16,2412,0,0,16,1.15,1386,806,806,626,12.52,5000,0,0,1,0.04,2248,1979,1760,1628,25.99,6265,88.68,94.08,67.08,28.18,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,116.01,100.82,96.38,52.24,184.5,86.66,100.27,96.93,38.77,250,49.38,53.42,52.43,35.43,148,118.7,131.4,137.41,51.93,264.6,59.74,78.55,86.65,53.42,162.2
00:45,4373,3997,3757,18.1,20753,0,0,18,0.31,5829,4373,3997,3740,25.06,14924,513,550,533,26.69,1997,0,0,0,0,750,513,550,533,42.74,1247,0,0,1,0.07,1445,1103,907,959,39.76,2412,0,0,16,1.15,1386,797,797,606,12.12,5000,0,0,1,0.04,2248,1959,1743,1641,26.19,6265,87.75,93.91,76.7,32.23,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,114.66,99.56,97.77,52.99,184.5,84.52,97.67,102.49,41,250,49.42,50.85,47.48,32.08,148,115.78,128.97,131.69,49.77,264.6,60.43,78.63,77.33,47.68,162.2
01:00,4375,3948,3619,17.44,20753,0,0,18,0.31,5829,4375,3948,3602,24.14,14924,512,536,511,25.59,1997,0,0,0,0,750,512,536,511,40.98,1247,0,0,1,0.07,1445,1118,905,879,36.44,2412,0,0,16,1.15,1386,791,791,604,12.08,5000,0,0,1,0.04,2248,1953,1716,1607,25.65,6265,86.86,88.95,77.62,32.61,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,112.02,99.57,95.52,51.77,184.5,87.99,96,96.11,38.44,250,49.42,50.79,45.17,30.52,148,118.76,126.11,125.79,47.54,264.6,57.16,74.86,70.62,43.54,162.2
01:15,4360,3935,3515,16.94,20753,0,0,18,0.31,5829,4360,3935,3498,23.44,14924,507,535,475,23.79,1997,0,0,0,0,750,507,535,475,38.09,1247,0,0,1,0.07,1445,1132,912,847,35.12,2412,0,0,16,1.15,1386,785,785,601,12.02,5000,0,0,1,0.04,2248,1936,1703,1575,25.14,6265,85.96,88,68.4,28.74,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,110.92,102.74,94.03,50.96,184.5,87.29,94.85,86.69,34.68,250,48.91,50.27,39.41,26.63,148,117.42,125.47,119.07,45,264.6,56.79,73.63,67.4,41.55,162.2
01:30,4332,3887,3425,16.5,20753,0,0,18,0.31,5829,4332,3887,3407,22.83,14924,499,532,457,22.88,1997,0,0,0,0,750,499,532,457,36.65,1247,0,0,1,0.07,1445,1143,962,851,35.28,2412,0,0,16,1.15,1386,780,662,577,11.54,5000,0,0,1,0.04,2248,1911,1731,1522,24.29,6265,84.52,77.52,63.99,26.89,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,109.82,92.12,80.14,43.44,184.5,85.34,92.48,85.83,34.33,250,48,53.58,43.26,29.23,148,114.73,131.81,114.94,43.44,264.6,56.14,84.09,69.15,42.63,162.2
01:45,4297,3861,3365,16.21,20753,0,0,18,0.31,5829,4297,3861,3347,22.43,14924,491,524,466,23.34,1997,0,0,0,0,750,491,524,466,37.37,1247,0,0,1,0.07,1445,1146,962,814,33.75,2412,0,0,16,1.15,1386,776,659,576,11.52,5000,0,0,1,0.04,2248,1884,1716,1492,23.81,6265,83.24,76.94,70.5,29.62,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,108.89,92.09,74.37,40.31,184.5,83.84,90.58,87.27,34.91,250,47.18,53.32,46.55,31.45,148,112.34,127.9,111.06,41.97,264.6,55.47,83.63,75.86,46.77,162.2
02:00,4256,3834,3402,16.39,20753,0,0,18,0.31,5829,4256,3834,3384,22.67,14924,483,514,489,24.49,1997,0,0,0,0,750,483,514,489,39.21,1247,0,0,1,0.07,1445,1143,965,798,33.08,2412,0,0,16,1.15,1386,772,656,597,11.94,5000,0,0,1,0.04,2248,1858,1699,1501,23.96,6265,81.75,76.06,79.36,33.34,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,107.98,90.34,74.63,40.45,184.5,81.93,88.67,87.17,34.87,250,46.66,52.59,50.85,34.36,148,109.71,124.6,114.83,43.4,264.6,54.73,82.06,81.73,50.39,162.2
02:15,4219,3800,3378,16.28,20753,0,0,18,0.31,5829,4219,3800,3360,22.51,14924,474,504,521,26.09,1997,0,0,0,0,750,474,504,521,41.78,1247,0,0,1,0.07,1445,1145,962,773,32.05,2412,0,0,16,1.15,1386,768,652,604,12.08,5000,0,0,1,0.04,2248,1831,1681,1461,23.32,6265,80.71,75.12,89.94,37.79,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,107.19,88.84,73.85,40.03,184.5,79.84,84.76,91.57,36.63,250,45.99,52.43,55.67,37.61,148,106.57,122.11,126,47.62,264.6,54.12,80.62,84.35,52,162.2
