"Time Stamp",WR_WR_COMBINED_R0,WR_WR_COMBINED_16,WR_WR_COMBINED_Act,WR_WR_COMBINED_CUF,WR_WR_COMBINED_AVC,"WR_WR_SOLAR _R0","WR_WR_SOLAR _16","WR_WR_SOLAR _Act","WR_WR_SOLAR _CUF","WR_WR_SOLAR _AVC","WR_WR_WIND _R0","WR_WR_WIND _16","WR_WR_WIND _Act","WR_WR_WIND _CUF","WR_WR_WIND _AVC",WR-ISTS_WR-ISTS_COMBINED_R0,WR-ISTS_WR-ISTS_COMBINED_16,WR-ISTS_WR-ISTS_COMBINED_Act,WR-ISTS_WR-ISTS_COMBINED_CUF,WR-ISTS_WR-ISTS_COMBINED_AVC,"WR-ISTS_WR-ISTS_SOLAR _R0","WR-ISTS_WR-ISTS_SOLAR _16","WR-ISTS_WR-ISTS_SOLAR _Act","WR-ISTS_WR-ISTS_SOLAR _CUF","WR-ISTS_WR-ISTS_SOLAR _AVC","WR-ISTS_WR-ISTS_WIND _R0","WR-ISTS_WR-ISTS_WIND _16","WR-ISTS_WR-ISTS_WIND _Act","WR-ISTS_WR-ISTS_WIND _CUF","WR-ISTS_WR-ISTS_WIND _AVC","Madhya Pradesh_Madhya Pradesh_SOLAR _R0","Madhya Pradesh_Madhya Pradesh_SOLAR _16","Madhya Pradesh_Madhya Pradesh_SOLAR _Act","Madhya Pradesh_Madhya Pradesh_SOLAR _CUF","Madhya Pradesh_Madhya Pradesh_SOLAR _AVC","Madhya Pradesh_Madhya Pradesh_WIND _R0","Madhya Pradesh_Madhya Pradesh_WIND _16","Madhya Pradesh_Madhya Pradesh_WIND _Act","Madhya Pradesh_Madhya Pradesh_WIND _CUF","Madhya Pradesh_Madhya Pradesh_WIND _AVC","Maharastra_Maharastra_SOLAR _R0","Maharastra_Maharastra_SOLAR _16","Maharastra_Maharastra_SOLAR _Act","Maharastra_Maharastra_SOLAR _CUF","Maharastra_Maharastra_SOLAR _AVC","Maharastra_Maharastra_WIND _R0","Maharastra_Maharastra_WIND _16","Maharastra_Maharastra_WIND _Act","Maharastra_Maharastra_WIND _CUF","Maharastra_Maharastra_WIND _AVC","Gujarat_Gujarat_SOLAR _R0","Gujarat_Gujarat_SOLAR _16","Gujarat_Gujarat_SOLAR _Act","Gujarat_Gujarat_SOLAR _CUF","Gujarat_Gujarat_SOLAR _AVC","Gujarat_Gujarat_WIND _R0","Gujarat_Gujarat_WIND _16","Gujarat_Gujarat_WIND _Act","Gujarat_Gujarat_WIND _CUF","Gujarat_Gujarat_WIND _AVC",OKWPL_RE-WIND_WIND_R0,OKWPL_RE-WIND_WIND_16,OKWPL_RE-WIND_WIND_Act,OKWPL_RE-WIND_WIND_CUF,OKWPL_RE-WIND_WIND_AVC,Acme_RUMS-SOLAR_SOLAR_R0,Acme_RUMS-SOLAR_SOLAR_16,Acme_RUMS-SOLAR_SOLAR_Act,Acme_RUMS-SOLAR_SOLAR_CUF,Acme_RUMS-SOLAR_SOLAR_AVC,Arinsun_RUMS-SOLAR_SOLAR_R0,Arinsun_RUMS-SOLAR_SOLAR_16,Arinsun_RUMS-SOLAR_SOLAR_Act,Arinsun_RUMS-SOLAR_SOLAR_CUF,Arinsun_RUMS-SOLAR_SOLAR_AVC,Mahindra_RUMS-SOLAR_SOLAR_R0,Mahindra_RUMS-SOLAR_SOLAR_16,Mahindra_RUMS-SOLAR_SOLAR_Act,Mahindra_RUMS-SOLAR_SOLAR_CUF,Mahindra_RUMS-SOLAR_SOLAR_AVC,RPL_SECI-II_RE-WIND_WIND_R0,RPL_SECI-II_RE-WIND_WIND_16,RPL_SECI-II_RE-WIND_WIND_Act,RPL_SECI-II_RE-WIND_WIND_CUF,RPL_SECI-II_RE-WIND_WIND_AVC,GIWEL_SECI-II_RE-WIND_WIND_R0,GIWEL_SECI-II_RE-WIND_WIND_16,GIWEL_SECI-II_RE-WIND_WIND_Act,GIWEL_SECI-II_RE-WIND_WIND_CUF,GIWEL_SECI-II_RE-WIND_WIND_AVC,IWISL-WIND_WIND_R0,IWISL-WIND_WIND_16,IWISL-WIND_WIND_Act,IWISL-WIND_WIND_CUF,IWISL-WIND_WIND_AVC,GIWEL_SECI-III_RE-WIND_WIND_R0,GIWEL_SECI-III_RE-WIND_WIND_16,GIWEL_SECI-III_RE-WIND_WIND_Act,GIWEL_SECI-III_RE-WIND_WIND_CUF,GIWEL_SECI-III_RE-WIND_WIND_AVC,AGEMPL-WIND_WIND_R0,AGEMPL-WIND_WIND_16,AGEMPL-WIND_WIND_Act,AGEMPL-WIND_WIND_CUF,AGEMPL-WIND_WIND_AVC
00:00,6123,3294,1916,9.24,20735,0,0,15,0.26,5809,6123,3294,1901,12.74,14926,554,645,326,16.31,1999,0,0,0,0,750,554,645,326,26.1,1249,0,0,1,0.07,1430,1114,477,342,14.18,2412,0,0,13,0.94,1381,2535,908,496,9.92,5000,0,0,1,0.04,2248,1920,1264,737,11.76,6265,102.15,73.91,65.26,27.42,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,113.81,139.31,58.47,31.69,184.5,100.13,108.17,51.32,20.53,250,62.47,72.39,32.26,21.51,150,115.57,160.66,62.09,23.47,264.6,59.89,90.85,56.32,34.72,162.2
00:15,6143,3253,1968,9.49,20739,0,0,14,0.24,5809,6143,3253,1954,13.09,14930,549,593,347,17.32,2004,0,0,0,0,750,549,593,347,27.67,1254,0,0,1,0.07,1430,1137,483,373,15.46,2412,0,0,12,0.87,1381,2571,923,499,9.98,5000,0,0,1,0.04,2248,1886,1253,735,11.73,6265,96.84,70.95,66.41,27.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,116.49,107.21,65.34,35.41,184.5,100.67,115.84,55.28,22.11,250,59.65,71,33.43,22.29,150,117.23,138.6,67.08,25.35,264.6,58.41,89.62,59.65,35.85,166.4
00:30,6173,3368,2011,9.7,20739,0,0,14,0.24,5809,6173,3368,1997,13.38,14930,545,634,344,17.17,2004,0,0,0,0,750,545,634,344,27.43,1254,0,0,1,0.07,1430,1168,510,392,16.25,2412,0,0,12,0.87,1381,2592,971,501,10.02,5000,0,0,1,0.04,2248,1868,1253,760,12.13,6265,92.99,70.27,64.29,27.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,117.82,125.95,53.4,28.94,184.5,99.39,106.19,56.55,22.62,250,59.64,70.35,35.54,23.69,150,117.63,158.84,70.21,26.53,264.6,57.65,102.53,63.62,38.23,166.4
00:45,6202,3440,2080,10.03,20739,0,0,14,0.24,5809,6202,3440,2067,13.84,14930,538,640,343,17.12,2004,0,0,0,0,750,538,640,343,27.35,1254,0,0,1,0.07,1430,1197,538,394,16.33,2412,0,0,12,0.87,1381,2624,1012,529,10.58,5000,0,0,1,0.04,2248,1843,1249,800,12.77,6265,89.27,69.59,61.91,26.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,121.37,101.56,41.39,22.43,184.5,96.61,115.02,60.03,24.01,250,58.12,75.81,35.88,23.92,150,115.99,168.24,76.67,28.98,264.6,56.83,110.15,67.32,40.46,166.4
01:00,6199,3530,2171,10.47,20739,0,0,14,0.24,5809,6199,3530,2157,14.45,14930,516,674,351,17.51,2004,0,0,0,0,750,516,674,351,27.99,1254,0,0,1,0.07,1430,1223,563,415,17.21,2412,0,0,12,0.87,1381,2639,1048,536,10.72,5000,0,0,1,0.04,2248,1821,1246,855,13.65,6265,82.29,66.38,59.54,25.02,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,120.48,113.45,42.52,23.05,184.5,92.08,142.19,63.56,25.42,250,55.61,72.15,37.69,25.13,150,111.48,171.99,80.82,30.54,264.6,53.85,107.52,66.39,39.9,166.4
01:15,6152,3592,2271,10.95,20739,0,0,14,0.24,5809,6152,3592,2258,15.12,14930,486,689,356,17.76,2004,0,0,0,0,750,486,689,356,28.39,1254,0,0,1,0.07,1430,1245,584,476,19.73,2412,0,0,12,0.87,1381,2652,1085,538,10.76,5000,0,0,1,0.04,2248,1769,1234,888,14.17,6265,74.5,64.76,60.77,25.53,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,117.38,131.51,53.43,28.96,184.5,85.5,144.59,57.87,23.15,250,53.09,73.81,39.67,26.45,150,104.65,170.4,71.5,27.02,264.6,50.86,104.03,72.41,43.52,166.4
01:30,6099,3487,2283,11.01,20739,0,0,14,0.24,5809,6099,3487,2269,15.2,14930,459,370,342,17.07,2004,0,0,0,0,750,459,370,342,27.27,1254,0,0,1,0.07,1430,1256,684,517,21.43,2412,0,0,12,0.87,1381,2676,1406,536,10.72,5000,0,0,1,0.04,2248,1708,1027,874,13.95,6265,69.59,65.69,59.44,24.97,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,117.38,80.32,55.78,30.23,184.5,78.67,59.8,51.16,20.46,250,49.74,37.55,39.44,26.29,150,96.74,73.02,62.27,23.53,264.6,47.2,53.65,73.7,44.29,166.4
01:45,6073,3491,2217,10.69,20739,0,0,14,0.24,5809,6073,3491,2203,14.76,14930,439,363,343,17.12,2004,0,0,0,0,750,439,363,343,27.35,1254,0,0,1,0.07,1430,1273,694,501,20.77,2412,0,0,12,0.87,1381,2710,1426,533,10.66,5000,0,0,1,0.04,2248,1650,1008,826,13.18,6265,66.48,64.64,61.17,25.7,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,119.15,80.91,59.76,32.39,184.5,74.3,58.31,51.78,20.71,250,45.55,36.35,38.21,25.47,150,90.27,70.3,61.34,23.18,264.6,43.55,52.29,70.92,42.62,166.4
02:00,6053,3537,2242,10.81,20739,0,0,14,0.24,5809,6053,3537,2228,14.92,14930,420,352,358,17.86,2004,0,0,0,0,750,420,352,358,28.55,1254,0,0,1,0.07,1430,1288,709,505,20.94,2412,0,0,12,0.87,1381,2732,1470,546,10.92,5000,0,0,1,0.04,2248,1613,1005,819,13.07,6265,62.32,62.09,63.62,26.73,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,117.82,80.41,67.72,36.7,184.5,70.77,56.36,52.52,21.01,250,42.68,35.27,36.19,24.13,150,85.2,67.62,67.39,25.47,264.6,40.92,50.45,70.36,42.28,166.4
02:15,6003,3564,2285,11.02,20739,0,0,14,0.24,5809,6003,3564,2271,15.21,14930,401,343,357,17.81,2004,0,0,0,0,750,401,343,357,28.47,1254,0,0,1,0.07,1430,1297,720,543,22.51,2412,0,0,12,0.87,1381,2740,1504,547,10.94,5000,0,0,1,0.04,2248,1565,997,824,13.15,6265,58.04,59.82,59.27,24.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,116.49,79.94,62.4,33.82,184.5,65.87,54.18,53.93,21.57,250,41.26,34.7,38.09,25.39,150,80.73,65.22,72.02,27.22,264.6,38.95,49.02,71.63,43.05,166.4
